D,N,K,L,Grafo Original,Conectividade Algebrica,Aresta Efb1,G + Efb1,Aresta Efb2,G + Efb2,Arestas Efb*,G + Efb*,Aresta Ehp1,G + Ehp1,Aresta Ehp2,G + Ehp2,Aresta Ehe1,G + Ehe1,Aresta Ehe2,G + Ehe2,Melhor Heurística
3,10,2,6,"T(10, 3, 2)",0.345089183536,"(1, 4)",0.546643042324,"(2, 4)",0.99999999999999878,"[(1, 4), (2, 4)]",1.0,"(1, 5)",0.498816440958,"(2, 6)",0.694773355494,"(1, 4)",0.546643042324,"(2, 4)",1.0,HE
3,10,3,5,"T(10, 3, 3)",0.308732223195,"(1, 5)",0.459554092466,"(2, 5)",0.63025617419522861,"[(1, 5), (2, 5)]",0.630256174195,"(1, 6)",0.438447187191,"(2, 7)",0.592389218889,"(1, 5)",0.459554092466,"(2, 5)",0.630256174195,HE
3,10,4,4,"T(10, 3, 4)",0.298437881284,"(1, 6)",0.427590535189,"(2, 6)",0.55571364215411678,"[(1, 7), (2, 8)]",0.566335370217,"(1, 7)",0.421979366697,"(2, 8)",0.566335370217,"(1, 6)",0.427590535189,"(2, 6)",0.555713642154,HP
3,11,1,8,"T(11, 3, 1)",0.42971503634,"(1, 3)",1.0,"(1, 4)",0.99999999999999978,"[(1, 3), (1, 4)]",1.0,"(1, 4)",0.66366803913,"(1, 5)",0.789950630232,"(1, 3)",1.0,Grafo nao suportado,Grafo nao suportado,NA
3,11,2,7,"T(11, 3, 2)",0.335920113121,"(1, 4)",0.537754214736,"(2, 4)",0.999999999999999,"[(1, 4), (2, 4)]",1.0,"(1, 5)",0.48446167391,"(2, 6)",0.671929626413,"(1, 4)",0.537754214736,"(2, 4)",1.0,HE
3,11,3,6,"T(11, 3, 3)",0.295317162926,"(1, 5)",0.445066101846,"(2, 5)",0.61797655234979465,"[(1, 5), (2, 5)]",0.61797655235,"(1, 6)",0.417895033291,"(2, 7)",0.561539741681,"(1, 5)",0.445066101846,"(2, 5)",0.61797655235,HE
3,11,4,5,"T(11, 3, 4)",0.278811442566,"(1, 6)",0.405796276623,"(2, 6)",0.53506155324559923,"[(1, 6), (2, 6)]",0.535061553246,"(1, 7)",0.391956157989,"(2, 8)",0.521635511682,"(1, 6)",0.405796276623,"(2, 6)",0.535061553246,HE
3,12,1,9,"T(12, 3, 1)",0.425087646131,"(1, 3)",1.0,"(1, 4)",0.99999999999999978,"[(1, 3), (1, 4)]",1.0,"(1, 4)",0.655881922663,"(1, 5)",0.780569405272,"(1, 3)",1.0,Grafo nao suportado,Grafo nao suportado,NA
3,12,2,8,"T(12, 3, 2)",0.328712381523,"(1, 4)",0.530685438246,"(2, 4)",0.99999999999999878,"[(1, 4), (2, 4)]",1.0,"(1, 5)",0.473281587236,"(2, 6)",0.654430900034,"(1, 4)",0.530685438246,"(2, 4)",1.0,HE
3,12,3,7,"T(12, 3, 3)",0.285104564413,"(1, 5)",0.433863344359,"(2, 5)",0.60835443238205944,"[(1, 5), (2, 5)]",0.608354432382,"(1, 6)",0.402435718236,"(2, 7)",0.538757388148,"(1, 5)",0.433863344359,"(2, 5)",0.608354432382,HE
3,12,4,6,"T(12, 3, 4)",0.264510501784,"(1, 6)",0.389583039803,"(2, 6)",0.51942598669490236,"[(1, 6), (2, 6)]",0.519425986695,"(1, 7)",0.37045356371,"(2, 8)",0.490429086282,"(1, 6)",0.389583039803,"(2, 6)",0.519425986695,HE
3,12,5,5,"T(12, 3, 5)",0.258342613226,"(1, 7)",0.37112433071,"(2, 7)",0.48033694261491566,"[(1, 7), (2, 7)]",0.480336942615,"(1, 8)",0.361026295562,"(2, 9)",0.476523728519,"(1, 7)",0.37112433071,"(2, 7)",0.480336942615,HE
3,13,1,10,"T(13, 3, 1)",0.421281009621,"(1, 3)",1.0,"(1, 4)",0.99999999999999878,"[(1, 3), (1, 4)]",1.0,"(1, 4)",0.649520086521,"(1, 5)",0.772924778245,"(1, 3)",1.0,Grafo nao suportado,Grafo nao suportado,NA
3,13,2,9,"T(13, 3, 2)",0.322894362861,"(1, 4)",0.52492578318,"(2, 4)",0.99999999999999878,"[(1, 4), (2, 4)]",1.0,"(1, 5)",0.464319754215,"(2, 6)",0.640573687803,"(1, 4)",0.52492578318,"(2, 4)",1.0,HE
3,13,3,8,"T(13, 3, 3)",0.277062467628,"(1, 5)",0.424931479376,"(2, 5)",0.60060068252056886,"[(1, 5), (2, 5)]",0.600600682521,"(1, 6)",0.390366013744,"(2, 7)",0.521195635886,"(1, 5)",0.424931479376,"(2, 5)",0.600600682521,HE
3,13,4,7,"T(13, 3, 4)",0.25360808311,"(1, 6)",0.377023320568,"(2, 6)",0.50714611751341243,"[(1, 6), (2, 6)]",0.507146117513,"(1, 7)",0.354248688935,"(2, 8)",0.467292221125,"(1, 6)",0.377023320568,"(2, 6)",0.507146117513,HE
3,13,5,6,"T(13, 3, 5)",0.243408691974,"(1, 7)",0.353746117126,"(2, 7)",0.46269134252302108,"[(1, 7), (2, 7)]",0.462691342523,"(1, 8)",0.338836469923,"(2, 9)",0.444921757186,"(1, 7)",0.353746117126,"(2, 7)",0.462691342523,HE
3,14,1,11,"T(14, 3, 1)",0.418093910487,"(1, 3)",1.0,"(1, 4)",0.99999999999999922,"[(1, 3), (1, 4)]",1.0,"(1, 4)",0.64422258355,"(1, 5)",0.766572679215,"(1, 3)",1.0,Grafo nao suportado,Grafo nao suportado,NA
3,14,2,10,"T(14, 3, 2)",0.318097801404,"(1, 4)",0.520140296877,"(2, 4)",0.99999999999999911,"[(1, 4), (2, 4)]",1.0,"(1, 5)",0.45697129315,"(2, 6)",0.629316279724,"(1, 4)",0.520140296877,"(2, 4)",1.0,HE
3,14,3,9,"T(14, 3, 3)",0.270561633488,"(1, 5)",0.417638050434,"(2, 5)",0.59421368919550976,"[(1, 5), (2, 5)]",0.594213689196,"(1, 6)",0.380672037283,"(2, 7)",0.507222033918,"(1, 5)",0.417638050434,"(2, 5)",0.594213689196,HE
3,14,4,8,"T(14, 3, 4)",0.24501300856,"(1, 6)",0.366994459108,"(2, 6)",0.4972313694802416,"[(1, 6), (2, 6)]",0.49723136948,"(1, 7)",0.34157801426,"(2, 8)",0.449405329324,"(1, 6)",0.366994459108,"(2, 6)",0.49723136948,HE
3,14,5,7,"T(14, 3, 5)",0.23201228173,"(1, 7)",0.340267228004,"(2, 7)",0.44881297249389851,"[(1, 7), (2, 7)]",0.448812972494,"(1, 8)",0.322091920928,"(2, 9)",0.421435636653,"(1, 7)",0.340267228004,"(2, 7)",0.448812972494,HE
3,14,6,6,"T(14, 3, 6)",0.227998127341,"(1, 8)",0.32846093102,"(2, 8)",0.42478044959170669,"[(1, 8), (2, 8)]",0.424780449592,"(1, 9)",0.316125148792,"(2, 10)",0.412968520635,"(1, 8)",0.32846093102,"(2, 8)",0.424780449592,HE
3,15,1,12,"T(15, 3, 1)",0.415386101918,"(1, 3)",1.0,"(1, 4)",0.99999999999999911,"[(1, 3), (1, 4)]",1.0,"(1, 4)",0.639741828184,"(1, 5)",0.76120927072,"(1, 3)",1.0,Grafo nao suportado,Grafo nao suportado,NA
3,15,2,11,"T(15, 3, 2)",0.314074447696,"(1, 4)",0.516099878495,"(2, 4)",0.999999999999999,"[(1, 4), (2, 4)]",1.0,"(1, 5)",0.450834105633,"(2, 6)",0.619983181885,"(1, 4)",0.516099878495,"(2, 4)",1.0,HE
3,15,3,10,"T(15, 3, 3)",0.265195706198,"(1, 5)",0.411567070148,"(2, 5)",0.58885821741337119,"[(1, 5), (2, 5)]",0.588858217413,"(1, 6)",0.37271032664,"(2, 7)",0.495827321978,"(1, 5)",0.411567070148,"(2, 5)",0.588858217413,HE
3,15,4,9,"T(15, 3, 4)",0.238058681541,"(1, 6)",0.358794901739,"(2, 6)",0.48905058510337768,"[(1, 6), (2, 6)]",0.489050585103,"(1, 7)",0.331389048824,"(2, 8)",0.435141008502,"(1, 6)",0.358794901739,"(2, 6)",0.489050585103,HE
3,15,5,8,"T(15, 3, 5)",0.223020504917,"(1, 7)",0.329493394902,"(2, 7)",0.43759397543487855,"[(1, 7), (2, 7)]",0.437593975435,"(1, 8)",0.308985806948,"(2, 9)",0.403246342695,"(1, 7)",0.329493394902,"(2, 7)",0.437593975435,HE
3,15,6,7,"T(15, 3, 6)",0.216229119851,"(1, 8)",0.314310742322,"(2, 8)",0.40979857354547672,"[(1, 8), (2, 8)]",0.409798573545,"(1, 9)",0.298970669067,"(2, 10)",0.389182401509,"(1, 8)",0.314310742322,"(2, 8)",0.409798573545,HE
3,16,1,13,"T(16, 3, 1)",0.413056790346,"(1, 3)",1.0,"(1, 4)",0.99999999999999944,"[(1, 3), (1, 4)]",1.0,"(1, 4)",0.63590177377,"(1, 5)",0.756619420516,"(1, 3)",1.0,Grafo nao suportado,Grafo nao suportado,NA
3,16,2,12,"T(16, 3, 2)",0.310650711767,"(1, 4)",0.512642349968,"(2, 4)",0.99999999999999911,"[(1, 4), (2, 4)]",1.0,"(1, 5)",0.445630086319,"(2, 6)",0.612116027506,"(1, 4)",0.512642349968,"(2, 4)",1.0,HE
3,16,3,11,"T(16, 3, 3)",0.260690187721,"(1, 5)",0.406433190096,"(2, 5)",0.58430119915308687,"[(1, 5), (2, 5)]",0.584301199153,"(1, 6)",0.366051895128,"(2, 7)",0.486351554497,"(1, 5)",0.406433190096,"(2, 5)",0.584301199153,HE
3,16,4,10,"T(16, 3, 4)",0.232313943886,"(1, 6)",0.351962318977,"(2, 6)",0.48218102519202044,"[(1, 6), (2, 6)]",0.482181025192,"(1, 7)",0.323012416359,"(2, 8)",0.423488301029,"(1, 6)",0.351962318977,"(2, 6)",0.482181025192,HE
3,16,5,9,"T(16, 3, 5)",0.215740371004,"(1, 7)",0.320677182451,"(2, 7)",0.42832738228791739,"[(1, 7), (2, 7)]",0.428327382288,"(1, 8)",0.298437881284,"(2, 9)",0.388720658461,"(1, 7)",0.320677182451,"(2, 7)",0.428327382288,HE
3,16,6,8,"T(16, 3, 6)",0.206937732212,"(1, 8)",0.302991845755,"(2, 8)",0.39767712066687366,"[(1, 8), (2, 8)]",0.397677120667,"(1, 9)",0.285533516075,"(2, 10)",0.370738038399,"(1, 8)",0.302991845755,"(2, 8)",0.397677120667,HE
3,16,7,7,"T(16, 3, 7)",0.204168476687,"(1, 9)",0.294919538354,"(2, 9)",0.3815710166194532,"[(1, 9), (2, 9)]",0.381571016619,"(1, 10)",0.281493681744,"(2, 11)",0.365143961961,"(1, 9)",0.294919538354,"(2, 9)",0.381571016619,HE
3,17,1,14,"T(17, 3, 1)",0.411031647269,"(1, 3)",1.0,"(1, 4)",0.99999999999999933,"[(1, 3), (1, 4)]",1.0,"(1, 4)",0.632573735271,"(1, 5)",0.752646416874,"(1, 3)",1.0,Grafo nao suportado,Grafo nao suportado,NA
3,17,2,13,"T(17, 3, 2)",0.307701485993,"(1, 4)",0.509649592613,"(2, 4)",0.99999999999999856,"[(1, 4), (2, 4)]",1.0,"(1, 5)",0.441160560151,"(2, 6)",0.605392273255,"(1, 4)",0.509649592613,"(2, 4)",1.0,HE
3,17,3,12,"T(17, 3, 3)",0.256852793718,"(1, 5)",0.402033900766,"(2, 5)",0.5803753168666671,"[(1, 5), (2, 5)]",0.580375316867,"(1, 6)",0.360399312538,"(2, 7)",0.47834393773,"(1, 5)",0.402033900766,"(2, 5)",0.580375316867,HE
3,17,4,11,"T(17, 3, 4)",0.227487153731,"(1, 6)",0.346179035331,"(2, 6)",0.47632819253708741,"[(1, 6), (2, 6)]",0.476328192537,"(1, 7)",0.316001066832,"(2, 8)",0.413783678688,"(1, 6)",0.346179035331,"(2, 6)",0.476328192537,HE
3,17,5,10,"T(17, 3, 5)",0.209723150289,"(1, 7)",0.313325374418,"(2, 7)",0.42053901096548363,"[(1, 7), (2, 7)]",0.420539010965,"(1, 8)",0.289760122984,"(2, 9)",0.376841119686,"(1, 7)",0.313325374418,"(2, 7)",0.420539010965,HE
3,17,6,9,"T(17, 3, 6)",0.199411265675,"(1, 8)",0.293723774923,"(2, 8)",0.38765775245238643,"[(1, 8), (2, 8)]",0.387657752452,"(1, 9)",0.274712491998,"(2, 10)",0.355994390456,"(1, 8)",0.293723774923,"(2, 8)",0.387657752452,HE
3,17,7,8,"T(17, 3, 7)",0.194642340958,"(1, 9)",0.283182307965,"(2, 9)",0.36877929439838436,"[(1, 9), (2, 9)]",0.368779294398,"(1, 10)",0.267795899919,"(2, 11)",0.346486914414,"(1, 9)",0.283182307965,"(2, 9)",0.368779294398,HE
