D,N,K,L,Grafo Original,Conectividade Algebrica,Aresta Efb1,G + Efb1,Aresta Efb2,G + Efb2,Arestas Efb*,G + Efb*,Aresta Ehp1,G + Ehp1,Aresta Ehp2,G + Ehp2,Aresta Ehe1,G + Ehe1,Aresta Ehe2,G + Ehe2,Melhor Heurística
5,19,1,14,"T(19, 5, 1)",0.144752005907,"(1, 5)",0.437339917875,"(2, 5)",0.69473585194079135,"[(1, 5), (2, 5)]",0.694735851941,"(1, 6)",0.32785559755,"(2, 7)",0.47199186802,"(1, 5)",0.437339917875,"(2, 5)",0.694735851941,HE
5,20,1,15,"T(20, 5, 1)",0.143304924293,"(1, 5)",0.434099892486,"(2, 5)",0.6919001469507069,"[(1, 5), (2, 5)]",0.691900146951,"(1, 6)",0.324141860546,"(2, 7)",0.466291868867,"(1, 5)",0.434099892486,"(2, 5)",0.691900146951,HE
6,7,1,1,"T(7, 6, 1)",0.198062264195,"(1, 7)",0.753020396283,"(1, 3)",0.75302039628253392,"[(1, 5), (2, 7)]",1.0,"(1, 7)",0.753020396283,"(1, 4)",0.753020396283,"(1, 6)",0.585786437627,"(3, 6)",0.84579349264,HE
6,8,1,2,"T(8, 6, 1)",0.166717008238,"(2, 6)",0.544675312943,"(2, 7)",0.71485751817021581,"[(1, 6), (3, 6)]",0.771532756025,"(1, 7)",0.491518800819,"(2, 8)",0.736922589687,"(1, 6)",0.49649550106,"(3, 6)",0.771532756025,HE
6,9,1,3,"T(9, 6, 1)",0.148743856491,"(2, 6)",0.496551947059,"(1, 7)",0.63604661156146769,"[(1, 6), (3, 6)]",0.725977786783,"(1, 7)",0.411636009315,"(2, 8)",0.655238555355,"(1, 6)",0.448365906223,"(3, 6)",0.725977786783,HE
6,10,1,4,"T(10, 6, 1)",0.137046564864,"(2, 6)",0.46464414606,"(1, 7)",0.59403203581855402,"[(1, 6), (3, 6)]",0.694773355494,"(1, 7)",0.367607188292,"(2, 8)",0.574518683069,"(1, 6)",0.417547032306,"(3, 6)",0.694773355494,HE
6,11,1,5,"T(11, 6, 1)",0.128812932172,"(2, 6)",0.441916349046,"(3, 6)",0.57467749122091683,"[(1, 6), (3, 6)]",0.671929626413,"(1, 7)",0.339116582699,"(2, 8)",0.52332627347,"(1, 6)",0.395938578858,"(3, 6)",0.671929626413,HE
6,12,1,6,"T(12, 6, 1)",0.122697729155,"(2, 6)",0.424876775468,"(3, 6)",0.56255772336784127,"[(1, 6), (3, 6)]",0.654430900034,"(1, 7)",0.319014061561,"(2, 8)",0.488334245283,"(1, 6)",0.379884143211,"(3, 6)",0.654430900034,HE
6,13,1,7,"T(13, 6, 1)",0.11797430041,"(2, 6)",0.411611632205,"(3, 6)",0.55265132401757711,"[(1, 6), (3, 6)]",0.640573687803,"(1, 7)",0.304014590502,"(2, 8)",0.462812232302,"(1, 6)",0.367459466262,"(3, 6)",0.640573687803,HE
6,14,1,8,"T(14, 6, 1)",0.11421495739,"(2, 6)",0.400983284645,"(3, 6)",0.54441900094994233,"[(1, 6), (3, 6)]",0.629316279724,"(1, 7)",0.292370330831,"(2, 8)",0.44331951887,"(1, 6)",0.357545966763,"(3, 6)",0.629316279724,HE
6,15,1,9,"T(15, 6, 1)",0.111151293401,"(2, 6)",0.392271816833,"(3, 6)",0.53747720156266532,"[(1, 6), (3, 6)]",0.619983181885,"(1, 7)",0.283057560871,"(2, 8)",0.427917222863,"(1, 6)",0.34944569969,"(3, 6)",0.619983181885,HE
